"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Mrpl15",904,172,8.63254639969817e-05,6.70407697527638e-05,226,-0.360002940824687,5e-04,0.00104657293497364
"Lypla1",511,135,4.87968054230726e-05,5.26192088175762e-05,107,0.106696738543852,0.4203,0.487484849749583
"Tcea1",841,196,8.03094194927672e-05,7.63952957647773e-05,231,-0.0711766153422703,0.5058,0.570693544457978
"Atp6v1h",447,92,4.268526814895e-05,3.58590163793853e-05,78,-0.2451292743617,0.0923,0.128572280701754
"Rb1cc1",321,80,3.06531791405211e-05,3.11817533733785e-05,35,0.0238925247806115,0.8847,0.905665999508841
"Pcmtd1",340,76,3.24675417687763e-05,2.96226657047096e-05,45,-0.128162712243134,0.44335,0.510385107705054
"Rrs1",362,31,3.45683827067559e-05,1.20829294321842e-05,49,-1.44290976204967,0,0
"Vcpip1",266,52,2.5401076795572e-05,2.0268139692696e-05,34,-0.311902925185523,0.0917,0.127950276150628
"Sgk3",763,105,7.28609834399303e-05,4.09260513025593e-05,167,-0.816965511727392,0,0
"Snhg6",498,72,4.75553994142664e-05,2.80635780360406e-05,93,-0.740419408822047,0,0
"Cops5",821,139,7.83995640946039e-05,5.41782964862451e-05,194,-0.525030169755521,0,0
"Cspp1",348,87,3.32314839280416e-05,3.39101567935491e-05,60,0.0283230022986554,0.85435,0.879999499629355
"Arfgef1",305,95,2.91252948219905e-05,3.7028332130887e-05,37,0.336099305397816,0.042,0.0627066618911175
"Slco5a1",3,134,2.86478309724497e-07,5.2229436900409e-05,23,5.37072526620028,0,0
"Ncoa2",193,96,1.8430104592276e-05,3.74181040480542e-05,39,0.983492656091532,0,0
"Tram1",1568,179,0.000149732663216004,6.97691731729344e-05,455,-1.09079910866884,0,0
"Terf1",272,22,2.5974033415021e-05,8.57498217767909e-06,35,-1.4942295564378,0,0
"Rpl7",18748,4327,0.00179029845023829,0.00168654308558261,1732,-0.0860813895171559,0.0018,0.00346652806652807
"Ube2w",583,126,5.56722848564605e-05,4.91112615630711e-05,112,-0.177508510335153,0.16645,0.216387595509122
"Tceb1",1885,824,0.000180003871276892,0.000321172059745799,720,0.831810828539356,0,0
"Tmem70",539,214,5.14706029805012e-05,8.34111902737875e-05,127,0.685924898474089,0,0
"Ly96",142,164,1.35599733269595e-05,6.39225944154259e-05,42,2.15671294093992,0,0
"Mcm3",716,48,6.83728232542465e-05,1.87090520240271e-05,175,-1.8155122123239,0,0
"Tram2",189,1,1.80481335126433e-05,3.89771917167231e-07,18,-3.77672959876875,0,0
"Ogfrl1",933,949,8.90947543243185e-05,0.000369893549391702,439,2.04149016245786,0,0
"Smap1",583,149,5.56722848564605e-05,5.80760156579175e-05,130,0.0599291590338062,0.634,0.687967981257321
"Sdhaf4",255,67,2.43506563265822e-05,2.61147184502045e-05,35,0.0970530910098724,0.6077,0.663922801729786
"Lmbrd1",425,75,4.05844272109704e-05,2.92328937875423e-05,69,-0.459924284964811,0.00245,0.00460659675236806
"Phf3",471,129,4.4977094626746e-05,5.02805773145728e-05,106,0.157497201341586,0.26095,0.321445057624114
"Ptp4a1",692,181,6.60809967764506e-05,7.05487170072689e-05,177,0.0930217706611997,0.43295,0.500069846217789
"Prim2",144,9,1.37509588667758e-05,3.50794725450508e-06,21,-1.71026619764005,0,0
"Zfp451",175,42,1.6711234733929e-05,1.63704205210237e-05,9,-0.0280321119716299,0.8953,0.91371233933162
"Bend6",56,3,5.34759511485727e-06,1.16931575150169e-06,5,-1.54897005033603,0.00045,0.000946908127208481
"Dst",159,14,1.51833504153983e-05,5.45680684034124e-06,15,-1.32561754407223,0,0
"Ccdc115",620,105,5.92055173430626e-05,4.09260513025593e-05,131,-0.522048744183629,1e-04,0.000227352058903736
"Imp4",509,70,4.86058198832563e-05,2.72840342017062e-05,96,-0.810521482297392,0,0
"Ptpn18",5640,300,0.000538579222282054,0.000116931575150169,1215,-2.19388475607613,0,0
"Fam168b",419,143,4.00114705915214e-05,5.57373841549141e-05,78,0.468272160675485,0.0013,0.00255977798771847
"Plekhb2",580,259,5.5385806546736e-05,0.000100950926546313,162,0.854470929078574,0,0
"Uggt1",290,40,2.7692903273368e-05,1.55908766866892e-05,32,-0.790303831215119,5e-05,0.000116895681435782
"Neurl3",484,64,4.62185006355521e-05,2.49454026987028e-05,78,-0.863873303190585,0,0
"Arid5a",56,44,5.34759511485727e-06,1.71499643553582e-05,8,1.51568470186455,1e-04,0.000227352058903736
"Kansl3",367,226,3.50458465562968e-05,8.80884532797943e-05,96,1.30540542464985,0,0
"Lman2l",440,59,4.20168187595928e-05,2.29965431128666e-05,68,-0.842074247035658,0,0
"Cnnm4",49,11,4.67914572550011e-06,4.28749108883954e-06,4,-0.103090604622833,0.7795,0.817239876760563
"Ankrd39",170,24,1.62337708843881e-05,9.35452601201355e-06,12,-0.734976894734007,0.0021,0.00400633867276888
"Sema4c",151,37,1.4419408256133e-05,1.44215609351876e-05,17,0.000201398301227781,0.9993,0.9993
"Cox5b",4078,1056,0.000389419515685499,0.000411599144528596,1229,0.0797156600779745,0.11975,0.161913031138501
"Actr1b",214,40,2.04354527603474e-05,1.55908766866892e-05,24,-0.369608767661961,0.0701,0.100364708912931
"Tmem131",141,174,1.34644805570513e-05,6.78203135870982e-05,52,2.25031995120393,0,0
"Inpp4a",378,42,3.60962670252866e-05,1.63704205210237e-05,54,-1.09464133591061,0,0
"Coa5",538,169,5.13751102105931e-05,6.58714540012621e-05,112,0.352509111893283,0.0058,0.0102164800338052
"Unc50",620,129,5.92055173430626e-05,5.02805773145728e-05,127,-0.231483200391848,0.05825,0.0848707182803216
"Mgat4a",55,50,5.25210234494911e-06,1.94885958583616e-05,5,1.71240781564262,0,0
"Mitd1",197,22,1.88120756719086e-05,8.57498217767909e-06,19,-1.04903832964311,0,0
"Mrpl30",1716,327,0.000163865593162412,0.000127455416913685,539,-0.360022615690678,0,0
"Txndc9",889,334,8.48930724483592e-05,0.000130183820333855,276,0.610976111740596,0,0
"Eif5b",1682,303,0.000160618838985534,0.000118100890901671,525,-0.440411169689111,0,0
"Rev1",90,15,8.5943492917349e-06,5.84657875750847e-06,6,-0.486801711299982,0.1054,0.144550057575259
"Aff3",62,3,5.92055173430626e-06,1.16931575150169e-06,4,-1.67364700230889,5e-05,0.000116895681435782
"Gm16152",90,3,8.5943492917349e-06,1.16931575150169e-06,7,-2.14494490562167,0,0
"Pdcl3",1045,342,9.9789944554033e-05,0.000133301995671193,328,0.414129029183135,0,0
"Rpl31",15233,3332,0.00145464136401109,0.00129872002800121,1715,-0.163454066448372,0,0
"Tbc1d8",942,554,8.9954189253492e-05,0.000215933642110646,360,1.25404181025953,0,0
"Cnot11",238,42,2.27272792381434e-05,1.63704205210237e-05,24,-0.449913998209242,0.02315,0.0363194486262702
"Rnf149",279,127,2.66424828043782e-05,4.95010334802384e-05,61,0.869425710103795,0,0
"Map4k4",624,728,5.95874884226953e-05,0.000283753955697744,316,2.23262407663585,0,0
