"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Mrpl15",41,131,6.79094650887378e-05,6.94873951986862e-05,31,0.0326631342998826,0.8934,0.952833813559322
"Lypla1",34,101,5.63151661711484e-05,5.35742512600558e-05,25,-0.070696509087668,0.8006,0.907707297297297
"Tcea1",51,145,8.44727492567226e-05,7.69135290367137e-05,39,-0.1335906658082,0.5728,0.789698411829135
"Atp6v1h",20,72,3.31265683359697e-05,3.8191545452713e-05,10,0.199647115615423,0.5643,0.784238368246968
"Rb1cc1",25,55,4.14082104199621e-05,2.91740972208225e-05,5,-0.491032996452316,0.1701,0.432684891359272
"Pcmtd1",23,53,3.80955535863651e-05,2.81132209582471e-05,5,-0.425330074637605,0.2813,0.560373644637911
"Vcpip1",15,37,2.48449262519772e-05,1.96262108576442e-05,4,-0.325402270613465,0.46,0.710093018983466
"Sgk3",29,76,4.8033524087156e-05,4.03132979778638e-05,12,-0.247162220302027,0.46,0.710093018983466
"Snhg6",11,61,1.82196125847833e-05,3.23567260085485e-05,7,0.795398438378654,0.0522,0.221190909090909
"Cops5",32,107,5.30025093375514e-05,5.67568800477819e-05,16,0.0969663651803207,0.7073,0.866313430656934
"Cspp1",19,68,3.14702399191712e-05,3.60697929275623e-05,11,0.191126011678153,0.5858,0.796789300189138
"Arfgef1",24,71,3.97518820031636e-05,3.76611073214254e-05,10,-0.0759837279770051,0.8195,0.919198529411765
"Slco5a1",28,106,4.63771956703575e-05,5.62264419164942e-05,23,0.272489103618132,0.4333,0.688737669718977
"Ncoa2",33,63,5.46588377543499e-05,3.34176022711239e-05,11,-0.693464188788361,0.0386,0.183140810556079
"Tram1",50,129,8.28164208399241e-05,6.84265189361109e-05,27,-0.271746080138103,0.285,0.564370192685804
"Rpl7",877,3450,0.00145260002153227,0.0018300115529425,395,0.333010547930899,0,0
"Ube2w",38,88,6.29404798383423e-05,4.66785555533159e-05,22,-0.423389041532433,0.1622,0.424825598335068
"Tceb1",219,605,0.000362735923278868,0.000320915069429047,206,-0.176211302672946,0.191,0.455684360189573
"Tmem70",65,149,0.000107661347091901,7.90352815618645e-05,37,-0.441130816019005,0.1321,0.384166031195841
"Ly96",56,108,9.2754391340715e-05,5.72873181790695e-05,32,-0.685704241902551,0.0242,0.136879550561798
"Mcm3",14,34,2.31885978351788e-05,1.80348964637812e-05,5,-0.345680418892075,0.4863,0.728447650208209
"Ogfrl1",128,821,0.000212010037350206,0.000435489705787186,218,1.03502621561335,0,0
"Smap1",27,122,4.4720867253559e-05,6.47134520170971e-05,28,0.523335961362137,0.057,0.233853300733496
"Sdhaf4",8,59,1.32506273343879e-05,3.12958497459732e-05,10,1.18032334960062,0.0098,0.0746341906202723
"Lmbrd1",28,47,4.63771956703575e-05,2.4930592170521e-05,10,-0.869537652712565,0.0281,0.150164968152866
"Phf3",30,99,4.96898525039545e-05,5.25133749974804e-05,21,0.0782025541132676,0.7918,0.903017942908926
"Ptp4a1",59,122,9.77233765911105e-05,6.47134520170971e-05,31,-0.587203008329407,0.0216,0.128073498233216
"Ccdc115",28,77,4.63771956703575e-05,4.08437361091514e-05,14,-0.179181134243733,0.5926,0.800446487935657
