"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Mrpl15",972,32,9.4062489234103e-05,4.80913736098587e-05,188,-0.953406644598475,0,0
"Lypla1",499,23,4.82892820245035e-05,3.4565674782086e-05,65,-0.4707884302199,0.0459,0.0765413234301148
"Tcea1",580,41,5.61278227940121e-05,6.16170724376315e-05,93,0.132362510895644,0.5276,0.605950767322896
"Atp6v1h",443,18,4.28700439616333e-05,2.70513976555455e-05,46,-0.645163497434367,0.009,0.0185896292166156
"Rb1cc1",346,36,3.34831494598762e-05,5.41027953110911e-05,32,0.676233960620487,0.0135,0.0264817315329627
"Pcmtd1",377,24,3.64830848161078e-05,3.6068530207394e-05,37,-0.0160447776323578,0.9508,0.962724528559716
"Rrs1",341,7,3.29992889185485e-05,1.05199879771566e-05,28,-1.56136536218071,0,0
"Vcpip1",248,12,2.39994828498534e-05,1.8034265103697e-05,16,-0.393299381197006,0.225,0.299770724689804
"Sgk3",823,24,7.96434451025378e-05,3.6068530207394e-05,152,-1.12136235990217,0,0
"Snhg6",284,14,2.74832787474128e-05,2.10399759543132e-05,25,-0.369992576448648,0.2288,0.304037307278594
"Cops5",895,37,8.66110368976565e-05,5.56056507363992e-05,179,-0.630166547135893,0.0011,0.00294007936507937
"Cspp1",284,12,2.74832787474128e-05,1.8034265103697e-05,29,-0.581516356589901,0.0671,0.106523226912363
"Arfgef1",265,31,2.56446086903676e-05,4.65885181845506e-05,18,0.836769886973134,0.0104,0.0210874657909141
"Slco5a1",3,52,2.90316324796614e-07,7.81484821160204e-05,10,5.93876498808621,0,0
"Ncoa2",188,41,1.81931563539211e-05,6.16170724376315e-05,16,1.7059640739224,4e-04,0.00118354632587859
"Tram1",1440,39,0.000139351835902375,5.86113615870153e-05,337,-1.23538870396696,0,0
"Terf1",245,12,2.37091665250568e-05,1.8034265103697e-05,25,-0.376447477570782,0.2525,0.330466790319731
"Rpl7",22381,1216,0.00216585655509101,0.00182747219717463,2126,-0.244964960889978,0,0
