"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Mrpl15",887,41,8.25155579502949e-05,6.58709668090658e-05,180,-0.320665003757226,0.0825,0.151206388763027
"Lypla1",526,34,4.89325631137036e-05,5.46247041831277e-05,85,0.155744794333703,0.507,0.627832542476657
"Tcea1",893,51,8.30737240694627e-05,8.19370562746916e-05,199,-0.0196381372274424,0.9181,0.946116898000764
"Atp6v1h",411,20,3.8234379162989e-05,3.21321789312516e-05,52,-0.243885286366817,0.3769,0.501747737370413
"Rb1cc1",371,25,3.45132717018708e-05,4.01652236640645e-05,43,0.213067788284089,0.4461,0.569145087525627
"Pcmtd1",411,23,3.8234379162989e-05,3.69520057709393e-05,57,-0.0479422370910713,0.8582,0.90495802919708
"Rrs1",325,7,3.0233998121585e-05,1.12462626259381e-05,34,-1.35077572628745,6e-04,0.00251242236024845
"Vcpip1",260,15,2.4187198497268e-05,2.40991341984387e-05,26,-0.00505306512815711,0.9898,0.992991319444444
"Sgk3",934,29,8.68878592171088e-05,4.65916594503148e-05,202,-0.884955125990606,1e-04,0.000512999365884591
"Snhg6",398,11,3.70250192381256e-05,1.76726984121884e-05,59,-1.02601854978031,0.0016,0.00592402745995423
"Cops5",767,32,7.13522355669405e-05,5.14114862900026e-05,148,-0.465154572745145,0.0247,0.056962086659065
"Cspp1",353,19,3.28387733443677e-05,3.0525569984689e-05,46,-0.102154816881577,0.7356,0.817782602720902
"Arfgef1",320,24,2.97688596889452e-05,3.85586147175019e-05,32,0.362520928414849,0.2362,0.352621885956819
"Slco5a1",1,28,9.30276865279537e-08,4.49850505037522e-05,6,5.39476307464576,0,0
"Ncoa2",222,33,2.06521464092057e-05,5.30180952365651e-05,29,1.31893272050763,0.0021,0.00745131578947368
"Tram1",1620,50,0.000150704852175285,8.0330447328129e-05,428,-0.899399775887623,0,0
"Terf1",271,8,2.52105030490755e-05,1.28528715725006e-05,33,-0.919959978427065,0.0136,0.0351626717801214
"Rpl7",19706,877,0.00183320359071986,0.00140899604613538,1649,-0.379462665274788,0,0
"Ube2w",511,38,4.75371478157843e-05,6.1051139969378e-05,73,0.354368380982024,0.1458,0.240375382107194
"Tceb1",1699,219,0.000158054039410993,0.000351847359297205,509,1.14952720122707,0,0
"Tmem70",453,65,4.2141541997163e-05,0.000104429581526568,72,1.28913006802865,0,0
"Ly96",181,56,1.68380112615596e-05,8.99701010075045e-05,26,2.35043767513838,0,0
"Mcm3",706,14,6.56775466887353e-05,2.24925252518761e-05,159,-1.50499922381137,1e-04,0.000512999365884591
"Tram2",163,0,1.51635129040565e-05,0,15,-4.01466887580431,0,0
"Ogfrl1",941,128,8.75390530228044e-05,0.00020564594516001,242,1.22277520703616,0,0
"Smap1",645,27,6.00028578105301e-05,4.33784415571897e-05,120,-0.459017825283849,0.0426,0.0885265861803237
"Sdhaf4",339,8,3.15363857329763e-05,1.28528715725006e-05,32,-1.23186893514054,0.0011,0.0042538240917782
"Lmbrd1",396,28,3.68389638650697e-05,4.49850505037522e-05,50,0.28129234061788,0.3136,0.436289595872743
"Phf3",565,30,5.25606428882938e-05,4.81982683968774e-05,94,-0.122565738680465,0.6094,0.713568678535244
"Ptp4a1",793,59,7.37709554166673e-05,9.47899278471922e-05,171,0.357395999143726,0.089,0.160752400089306
"Prim2",145,2,1.34890145465533e-05,3.21321789312516e-06,17,-1.78196504084576,0.0038,0.0122478087649402
"Zfp451",176,13,1.63728728289199e-05,2.08859163053135e-05,9,0.333166445024045,0.4018,0.52734620376379
"Bend6",87,3,8.09340872793197e-06,4.81982683968774e-06,8,-0.64384497162258,0.2479,0.365435677842566
"Dst",245,6,2.27917831993487e-05,9.63965367937548e-06,29,-1.16101221423024,0.0064,0.018986431976531
"Ccdc115",554,28,5.15373383364864e-05,4.49850505037522e-05,84,-0.192178187166481,0.4201,0.543951504481434
"Imp4",498,22,4.63277878909209e-05,3.53453968243768e-05,81,-0.380914834681118,0.1288,0.217262718932444
"Ptpn18",5065,86,0.000471185232264086,0.000138168369404382,1176,-1.76252157306933,0,0
"Fam168b",413,37,3.84204345360449e-05,5.94445310228155e-05,51,0.616668131917178,0.0218,0.0517494131455399
"Plekhb2",595,58,5.53514734841325e-05,9.31833189006296e-05,108,0.741018227646296,0.0025,0.00862105711849957
"Uggt1",322,9,2.99549150620011e-05,1.44594805190632e-05,36,-1.00167665907008,0.0039,0.0125451292246521
"Neurl3",586,16,5.45142243053809e-05,2.57057431450013e-05,87,-1.0557074469737,0,0
"Arid5a",99,9,9.20974096626742e-06,1.44594805190632e-05,17,0.598545577842074,0.2884,0.409252147992285
"Kansl3",420,40,3.90716283417406e-05,6.42643578625032e-05,56,0.703714186966829,0.0123,0.0324655791190865
