"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Mrpl15",18,18,8.61561436510102e-05,5.28429507503699e-05,30,-0.704188612347182,0.128225,0.591275730337079
"Lypla1",11,14,5.26509766756173e-05,4.11000728058433e-05,21,-0.356550918488431,0.5585,0.879282
"Tcea1",21,27,0.000100515500926179,7.92644261255549e-05,38,-0.342288193662684,0.3941,0.802693119417797
"Atp6v1h",9,10,4.30780718255051e-05,2.93571948613166e-05,17,-0.5516787668305,0.43025,0.824071073094868
"Rb1cc1",8,12,3.8291619400449e-05,3.52286338335799e-05,19,-0.11995345496412,0.855275,0.965756810631229
"Pcmtd1",10,11,4.78645242505612e-05,3.22929143474483e-05,19,-0.566289475956784,0.405825,0.814030205278592
"Rrs1",4,3,1.91458097002245e-05,8.80715845839498e-06,7,-1.11150720384172,0.332575,0.776500545851528
"Vcpip1",6,8,2.87187145503367e-05,2.34857558890533e-05,13,-0.289090148112111,0.7184,0.933207512133362
"Sgk3",9,13,4.30780718255051e-05,3.81643533197116e-05,21,-0.174297801482103,0.76935,0.952957731958763
"Snhg6",3,6,1.43593572751684e-05,1.761431691679e-05,9,0.292912409367388,0.789075,0.952957731958763
"Cops5",13,16,6.22238815257296e-05,4.69715117781066e-05,27,-0.404930898847591,0.4147,0.819071896053898
"Cspp1",7,10,3.35051669753928e-05,2.93571948613166e-05,14,-0.190063019697191,0.8102,0.952957731958763
"Arfgef1",11,12,5.26509766756173e-05,3.52286338335799e-05,19,-0.57835984437022,0.3782,0.792348190733852
"Slco5a1",17,9,8.13696912259541e-05,2.64214753751849e-05,20,-1.61910240629757,0.0271,0.335978873239437
"Ncoa2",12,18,5.74374291006735e-05,5.28429507503699e-05,27,-0.120062154717375,0.821675,0.955761741923295
"Tram1",17,26,8.13696912259541e-05,7.63287066394232e-05,31,-0.0921488236841536,0.857525,0.965756810631229
"Lactb2",2,5,9.57290485011224e-06,1.46785974306583e-05,7,0.611488243712713,0.5283,0.879282
"Rpl7",328,457,0.00156995639541841,0.00134162380516217,97,-0.226728658468609,0.06005,0.469121573604061
"Ube2w",12,24,5.74374291006735e-05,7.04572676671599e-05,29,0.29429393383888,0.567475,0.879282
"Tceb1",70,127,0.000335051669753928,0.000372836374738721,77,0.154115397250491,0.48075,0.862001339545719
"Tmem70",15,44,7.17967863758418e-05,0.000129171657389793,35,0.846406809165448,0.162275,0.639004600638978
"Ly96",24,29,0.000114874858201347,8.51358650978182e-05,38,-0.431785905514835,0.401125,0.808604911591356
"Mcm3",7,5,3.35051669753928e-05,1.46785974306583e-05,10,-1.18517371582235,0.289175,0.739525290697674
"Ogfrl1",56,64,0.000268041335803143,0.000187886047112426,57,-0.512368052948281,0.168225,0.641799755052052
"Smap1",14,11,6.70103339507857e-05,3.22929143474483e-05,21,-1.05085666486893,0.090325,0.521501966292135
"Lmbrd1",3,21,1.43593572751684e-05,6.16501092087649e-05,21,2.09443826291107,0.00255,0.100626923076923
"Phf3",9,18,4.30780718255051e-05,5.28429507503699e-05,23,0.294139785677268,0.6178,0.8980346635183
"Ptp4a1",20,32,9.57290485011224e-05,9.39430235562132e-05,41,-0.0271421205188539,0.949425,0.979410522788204
"Zfp451",3,7,1.43593572751684e-05,2.05500364029216e-05,9,0.514140899621212,0.630325,0.903441373690338
"Ccdc115",8,16,3.8291619400449e-05,4.69715117781066e-05,15,0.294062772345988,0.735275,0.939336107076157
"Imp4",7,13,3.35051669753928e-05,3.81643533197116e-05,19,0.187317945651207,0.772025,0.952957731958763
"Ptpn18",18,47,8.61561436510102e-05,0.000137978815848188,40,0.67879287479536,0.1399,0.605643037974684
"Fam168b",9,23,4.30780718255051e-05,6.75215481810282e-05,31,0.647184227482909,0.163275,0.640173091603053
"Plekhb2",15,37,7.17967863758418e-05,0.000108621620986871,38,0.596639679260128,0.1623,0.639004600638978
