"","L_G+1","L_G+2","L_G+3","L_G-1","L_G-2","LN_G+1","LN_G+2","LN_G+3","LN_G-1","LN_G-2","LN_G-3"
"mt-Cytb",8.85866620820837,8.81773327877319,8.68701182665833,8.78515407825779,8.19626355535814,8.94466659627096,8.57264202138414,8.74436584012909,8.6286256718169,8.85077918880253,8.55930242496173
"mt-Nd6",5.05772531087003,5.15305534160509,5.08028388805131,5.09325603394711,4.45383426452153,5.65124154640434,5.47483150993121,5.37441312048216,4.90534449282941,5.54729340426148,5.44819434284883
"mt-Nd5",7.30408008965051,7.36843582482058,7.29031633765124,7.28331462104688,6.7121714202535,7.65644456886012,7.44589373892032,7.48838915001738,7.23755660813345,7.61540193324405,7.30592371642414
"mt-Nd4",5.95249697652996,5.991336038012,5.85080204192854,5.88599008194132,5.33479992946325,6.34694025730638,6.16316516060732,6.31576612906686,5.82539528637424,6.43979680058257,6.10748904093084
"mt-Co1",9.12845563024118,9.2183540582927,9.17699512830484,9.03889531735757,8.45660274061377,9.56920932776541,9.43880587078021,9.61543126732014,9.05319025998797,9.5352390931022,9.33880875371222
"mt-Nd2",4.80235028236426,4.68180286710725,4.58384275441659,4.76293168553698,4.13955974217761,4.79488057560256,4.75183885831761,4.98856840728842,4.68944932827183,5.21763050699594,4.65026073139119
"mt-Nd1",8.23871428922658,8.17704418070553,8.16709106198167,8.21468770984715,7.8122012618348,7.90635084596722,7.75503052158317,7.93395870045561,7.85365501581791,8.17496341708635,7.75142922797151
"Cdk4",6.57446060055501,6.63476236904581,6.55729775926791,6.71776536948885,6.78365339307391,5.56533523337306,5.59254653466512,5.94467197737561,6.67027200779107,5.90762272984387,5.78082820793075
"Pxylp1",3.38997793548494,3.62955195431052,3.36627944232842,3.27113229186476,3.43114666981364,1.87457806862931,1.15970130530375,1.07254679992777,1.53315887642368,2.40233994864336,2.17517584844241
"Pacsin1",4.09562191862856,4.21675780028372,4.55205327242871,3.81938301422939,4.20099562579363,3.11478176608222,3.40568054695782,3.20692422269098,3.65566507262423,3.41067122323531,3.25924011323089
"Dgka",4.50082993085886,4.19871259890879,4.23844577437514,4.61274144281669,4.16144468404315,5.16479730378933,5.23843374144956,5.11902122972727,5.4998588672675,5.2049124518214,4.87413512002887
"Uba5",6.08818149449962,5.98923795359803,5.98322589001979,5.92721274466783,6.28333360501177,5.80542965644297,5.93724466000216,6.13350001115963,6.18128339783521,6.05219950164716,6.0812112602435
"Rapgef6",7.05054580884683,7.35322166131727,7.27016715918216,7.29465216498116,6.6078311961122,7.82483458595166,7.91378937223709,7.38534333782668,7.16613484596472,7.38641194351562,7.32338688815427
"Atp11a",6.30343766409735,6.91007581556781,6.97518088766524,6.56450573393013,5.89799252953381,8.69154623827363,8.79682154831662,8.63899956790253,7.80093641526229,8.05607726971008,8.13298729058893
"Nr6a1",2.35270705813116,2.55065112656361,2.52837135339705,2.17366648242914,1.54181863673515,2.05760805769498,3.09346760690367,2.96192762724784,2.38454438122678,1.93242612084444,2.12294588966985
"Brat1",5.85766006841591,5.88927104553759,6.12210406374594,5.91024420321194,6.00521210515973,5.47513742440148,5.29986469160683,5.45039769725244,5.30127316916055,5.53845023709343,5.29582269785218
"Zyx",10.2114587374279,10.1048615306897,10.2508516585133,10.3169353914937,10.4505584784621,8.67725832182832,8.87353574018012,8.97237842845184,8.27462586282483,8.92244663645361,9.07708858321975
"Fam216a",2.67224856018165,2.45659289277858,2.46675223513339,2.90441355386019,2.97154180649995,1.90219029983717,1.94038827689928,2.28311378586743,2.5745427971888,2.10663084966399,2.35574809408423
"Mxd4",4.25082744411195,4.25916707678172,4.26282134964447,4.21570825324607,4.22677310737882,4.33717418741867,4.58280823455848,4.39584823622382,4.69116071049017,4.96579022845659,4.79498009837587
"Gm12258",3.23042427132,3.07062074347986,3.10829826422091,3.11832344858536,2.81040434008922,3.99647440694352,3.86487583255488,3.43778606608846,3.51973836066136,3.92662827630633,4.1639110223466
"Cdk2",6.4104079442719,6.17744735316504,6.1045100037312,6.64363646086036,6.35265324385342,5.92129349989788,5.7554130471166,5.92863138329244,6.42392980666892,6.17791527589199,6.15377827216056
"Bicdl1",1.5699805088426,1.77912831036103,1.10493141312251,1.56524500888399,1.8709166897854,2.31551743135091,2.1902033937011,2.87005393602903,2.33286022593785,2.8653119249859,2.36701920641925
"Acad11",2.9389937397997,3.06266102651139,2.57778354752213,2.90441355386019,2.92506170464803,3.16123068876914,3.30335705603528,3.31540332382393,3.18280474674861,3.42170527351029,3.47773861846284
"2610002M06Rik",1.62366837973659,1.3527117489517,1.76434386300355,0.0268250940998682,0.954286776401857,3.04217801712538,2.80108923948773,3.32119728759891,3.52358554971688,3.53781650326339,3.70346932522451
"Nck2",6.33395588383403,6.42608999314898,6.30854242182918,6.30958259170655,6.23413939903442,7.72424379554488,7.72331316013632,7.70190342000738,7.36738744611299,7.70816402485541,7.85587527224315
"Vps29",6.42229182564299,6.28227141990993,6.21169612781518,6.30899421688564,6.57025565412235,6.48344443756119,6.38044134409685,6.42607173970947,5.91306437259745,6.42821703317616,6.37157306124591
"Coa7",3.09917973804174,3.05465714999957,3.15462731527638,3.22197267924543,3.25131336780326,1.88845024321087,1.63806473995143,1.6156891249543,2.52933716547127,1.5250830133556,1.87709449550942
"Daam1",4.2572110609028,4.40794510067162,4.53963757582885,4.27475260754345,2.89322162521613,6.81794226775652,6.89736033617684,6.43611840315755,6.03801463795099,6.53623094970134,6.01109992269679
"Pwp1",5.55580895975282,5.60749456177962,5.65751073999286,5.83703967029671,5.84903970676783,4.19091972849809,4.35138272344084,4.87301533640013,5.46826934567966,4.74857129121332,4.82389692982264
"Mtx1",4.73534001583912,4.64095671758277,4.77391577822536,4.81192720931034,4.84981750984583,4.46764887273794,4.16738749844888,4.44443750728895,4.44766265614207,4.48487947136,4.46074246762857
"Rbms2",3.19095598813455,3.06266102651139,3.08797827984131,2.96542454943572,2.68118791572849,1.94264234357446,1.36615218277118,2.13308834186282,3.11302350950516,2.84085888126137,1.69231153533999
"Msr1",3.0848955120355,4.27647616312461,2.95965418286577,-1.09247383427248,1.52113448256341,-2.11846917072892,-0.666269294921198,-0.783717722610782,-0.356658205825898,-0.859580836879726,-1.93816562463353
"Gtf2ird2",3.75125643462144,3.68245229094936,3.82903083153076,3.83581479824842,3.81146945275545,4.15693907913677,4.36481573520837,4.54193666373486,4.24121177867465,4.16852986987722,4.63868205735573
"Aaed1",4.37342303517126,4.56973186812931,4.65463512604322,4.42567055987613,4.66772383507182,4.48829192027079,4.00186358616017,4.34556529433418,4.45170665329842,3.82224320309402,4.14439286614579
"Alg5",5.5729687819294,5.64529364662784,5.52522617002604,5.72064389634842,5.98032934153153,4.62714051784653,4.77214454244702,4.88088281351648,4.92583974423293,4.69727997596176,4.75263824665282
"Tmbim4",5.32207970381294,5.22168091517425,5.19239425437285,4.91759602434511,5.04537562029207,6.89297313948207,7.183964907095,7.1200602611304,5.90276199238628,6.74993994233664,6.6488184689089
"Tmpo",8.90395187814274,8.76758348789936,8.79515789409195,8.89223925251625,8.6406749456166,8.14840744551565,8.34266857355103,8.34209652742193,8.31833020389836,8.15485298349631,8.28722722485885
"4930453N24Rik",4.42725401149622,4.2328077252328,4.37608896558642,4.42784002651184,4.43183944055487,4.41351203830606,4.51935702142598,4.31104252944813,4.7132258882866,4.33535837171592,4.48680812770869
"Ccdc33",-2.98119367842228,-0.457910886939815,-1.72964497767012,-5.95045482940005,-5.00764518276462,0.720249922238016,1.23185109105959,1.7420055747357,0.791095414617794,0.985444503143933,2.35574809408423
"B230219D22Rik",7.77767725239693,7.73355964478376,7.9428982267287,7.95257967364411,7.75078625813565,7.55136984175085,7.69753362216525,7.50502904661051,7.23257066788011,7.50236293685552,7.49630222336422
"Rel",8.18671225282654,8.11933808757193,8.34636889941516,7.66942123810393,6.90761178135815,9.06206163661556,9.08937700126433,8.50717502756449,8.44417826638162,8.54169376088316,8.8776487032277
"Polr1b",5.20037272945543,4.83218112082554,5.01541303744481,5.27535511122349,5.22557502146286,3.37830780424004,3.15042349171574,3.46943695249635,4.67913818224096,3.56792601436133,3.74293760840996
"Nphp3",3.97170931494308,3.94959293965362,3.76220811865956,4.57799928136474,3.52763019385618,4.24043557195441,3.89110737412806,4.01114625526363,3.75718607985107,3.61194385374559,4.04964496635855
"Pdha1",5.63474242589501,5.60612610538971,5.78078954440128,5.75733566612877,5.97225630674116,5.47858061229096,5.59596794743285,5.47008901806266,5.73038857340544,5.27199035666051,5.41599897518605
"Tle1",5.55408169819853,5.4803151517922,5.31402032376888,5.91643769827655,5.43010688955898,1.66490688839424,1.3227595872578,1.65292203115327,2.36752123338446,2.12024128118264,2.73208206403259
"Slc25a45",7.3488517438876,7.26470692826642,7.36610366468082,7.34946863410028,7.55896387535155,6.53616685779904,6.52803986514807,6.55643933466276,6.27498251532989,6.64733276815211,6.74860423794501
"Trim62",4.50441204329105,4.18411214497596,3.99827547689308,4.3815817189616,4.02485978180842,5.22069562908374,5.22818104318652,5.2734337312123,4.96597691923533,5.48685081538008,5.3031758995039
"Fbxo6",5.91799538190935,5.88024182746565,5.92904256350569,5.73735823316488,6.14104323335294,7.22736251772911,7.31153098748098,7.3542450500266,6.33641872039572,7.10085021328815,7.15479475570919
