"","x"
"1","2810417H13Rik"
"2","Arl6ip1"
"3","Aurkb"
"4","Birc5"
"5","Calm2"
"6","Ccna2"
"7","Ccnb1"
"8","Ccnb2"
"9","Cdc20"
"10","Cdca3"
"11","Cdca8"
"12","Cdk1"
"13","Cdkn3"
"14","Cenpa"
"15","Cenpe"
"16","Cenpf"
"17","Cks1b"
"18","Cks2"
"19","Fbxo5"
"20","H2afv"
"21","H2afx"
"22","H2afz"
"23","Hist1h1b"
"24","Hmgb1"
"25","Hmgb2"
"26","Hmgn2"
"27","Hmmr"
"28","Hspa8"
"29","Kif23"
"30","Knstrn"
"31","Lockd"
"32","Mki67"
"33","Nusap1"
"34","Plk1"
"35","Prc1"
"36","Ptma"
"37","Racgap1"
"38","Smc2"
"39","Smc4"
"40","Spc25"
"41","Stmn1"
"42","Tmpo"
"43","Top2a"
"44","Tuba1b"
"45","Tubb4b"
"46","Tubb5"
"47","Ube2c"
"48","Ube2s"
